Código,Nombre,Obsoleto,Fabricante,Categoría,Subcategoría,Categoría de precios
162295,ÑAMING DELICIOUS PAVO ESPINACAS QUESO,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
162297,ÑAMING DELICIOUS POLLO CESAR,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
162298,ÑAMING DELICIOUS MIXTO,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
162299,ÑAMING DELICIOUS ATÚN,False,ÑAMING,PRODUCTO FRESCO,SANDWICH,
162592,ACEITE DE OLIVA VIRGEN EXTRA 5ML,False,CAPRICHO ANDALUZ,PRODUCTO FRESCO,EMBUTIDO,
162704,CAFÉ TORELLI PIACERE,False,GIMOKA,BEBIDA CALIENTE,CAFÉ,
162707,CAFÉ PASSIONE (ARÁBICA DESCAFEINADO) 1 KG,False,TORELLI BY MARCO COSTA,BEBIDA CALIENTE,CAFÉ,
163000,LECHE SOJA EN POLVO 400G,False,"ECODIET NEWS, S.L.",BEBIDA CALIENTE,LECHE,
163001,LECHE AVENA EN POLVO 400G,False,ECOMIL,BEBIDA CALIENTE,LECHE,
163159,ARROZ C/LECHE 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
163180,CUAJADA 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
163181,YOGUR DESNATADO C/PIÑA S/LACTOSA 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
163182,YOGUR DESNATADO C/MELOCOTON S/LAC 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
163183,YOGUR PIÑA 125G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
163280,GAZPACHO TRADICIONAL 330 ML,False,,BEBIDA FRIA,ZUMO,
163287,MONSTER ULTRA WHITE LATA 50CL,False,COCA COLA,BEBIDA FRIA,BEBIDA ENERGETICA,
163585,MINI BOCADILLO QUESO SEMICURADO 90G,False,ROSENDO MILA,PRODUCTO FRESCO,BOCADILLO,
163586,BOCADILLO JAMON SERRANO Y QUESO SEMI 90G,False,ROSENDO MILA,PRODUCTO FRESCO,BOCADILLO,
163587,BOCADILLO SALVADO QUESO SEMICURADO 100G,False,ROSENDO MILA,PRODUCTO FRESCO,BOCADILLO,
163837,ENSALADA FLORETTE PASTA C/RUCULA Y POLLO,False,FLORETTE,PRODUCTO FRESCO,ENSALADA,
163838,ENSALADA FLORETTE NEW YORKER,False,ÑAMING,PRODUCTO FRESCO,ENSALADA,
163852,OREO 41G BAÑADAS BLANCO,False,"MONDELEZ ESPAÑA COMMERCIAL, S.L.",SNACK,GALLETA,
163911,F+L CARIBE 33CL,False,JUVER,BEBIDA FRIA,BEBIDA LÁCTEA,
164316,YOGUR LIQ PROBIOTICO FRESA 65G,False,"KAIKU KM0, S.L.",BEBIDA SALUDABLE,YOGURT,
164614,TERNERA CHIMICHURRI CON DADO DE PATATA,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
164616,SOLOMILLO DE CERDO EN SALSA DE CHAMPIÑON,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
164617,SALMON CON SALSA BEARNESA Y PATA PARISIN,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
164618,LASAÑA DE CARNE GRATINADA,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
164671,ESPAGUETIS A LA CREMA DE PESTO,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
164673,ALBONDIGAS DE TERNERA EN SALSA ESPAÑOLA,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
164674,FABADA ASTURIANA,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
164924,REUT. SET TENED+CUCHIL+CUCHAR+SERV PS TR,False,"TECNOPACKING, S.L.",PRODUCTO FRESCO,POSTRE,
165260,SNACK CHOCO NEGRO ZERO,False,GULLON,SNACK SALUDABLE,GALLETA,
165372,NARANJA MESA 3/4 UN/KG,False,"AGRONATURAL 9920,S.L",PRODUCTO FRESCO,FRUTA-VERDURA Y CREMAS,
165615,HAMBURGUES AL HORNO CON PATA ASAD SA B1,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
165616,HAMBURGUES AL HORNO CON PATA ASAD SAS B1,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
165716,TORTILLA PATATA C/CHORIZO 200G,False,"G.EMPRESARIAL PALACIOS ALI, S.A.",PRODUCTO FRESCO,PLATOS 5 GAMA,
165781,MONSTER MANGO LOCO LATA 50CL,False,COCA COLA,BEBIDA FRIA,BEBIDA ENERGETICA,
166344,KAIKU CAFFE LATTE UHT CAPUCCINO 200 ML,False,"KAIKU KM0, S.L.",BEBIDA FRIA,BEBIDA LÁCTEA,
166345,KAIKU CAFFE LATTE UHT ESPRESSO 200 ML,False,"KAIKU KM0, S.L.",BEBIDA FRIA,BEBIDA LÁCTEA,
166506,AGUA AUARA PET 24B 50CL,False,HIJOS DE RIVERA,BEBIDA FRIA,AGUA,
166998,ILLY MPS HOME INTENSO CAPSULA,False,ILLY,BEBIDA CALIENTE,CAPSULA,
167399,AZUCAR SOBRE 7G SIN LOGO,False,EXCELENT MARKET - PLATAFORMA SECO MAD,BEBIDA CALIENTE,AZUCAR,
167470,CAPSULA BLUE ESPRESSO INTENSO,False,LAVAZZA,BEBIDA CALIENTE,CAPSULA,
167798,PERÚ ORGANIC,False,,BEBIDA CALIENTE,CAPSULA,
167840,SANDWICH GLUTEN FREE,False,GULLON,SNACK SALUDABLE,GALLETA,
167907,OOH LOTUS NAKD PEANUT DELIGHT 35G 18U,False,LOTUS,SNACK,PRODUCTO GYM,
167908,OOH LOTUS NAKD COCOA DELIGHT 35G 18U,False,LOTUS,SNACK,PRODUCTO GYM,
169198,MINI COOKIES NOCILLA,False,CALIDAD PASCUAL S.A.U.,SNACK,GALLETA,
169199,MINI CHIPCHOCO ZERO,False,GULLON,SNACK SALUDABLE,GALLETA,
169210,SURTIDO ZERO,False,GULLON,SNACK,GALLETA,
169217,Ristretto Decaffeinato,False,,BEBIDA CALIENTE,CAPSULA,
169410,BORN ECO MANGO,False,FRUIT FRIENDS 2012 SRL,SNACK SALUDABLE,DESHIDRATADOS,
169411,BORN ECO PIÑA,False,FRUIT FRIENDS 2012 SRL,SNACK SALUDABLE,DESHIDRATADOS,
169412,BORN ECO COCO,False,FRUIT FRIENDS 2012 SRL,SNACK SALUDABLE,DESHIDRATADOS,
170010,MONSTER REHAB LEMON LATA 50CL,False,COCA COLA,BEBIDA FRIA,BEBIDA ENERGETICA,
170012,MONSTER ULTRA FIESTA MANGO 50CL,False,COCA COLA,BEBIDA FRIA,BEBIDA ENERGETICA,
170105,LM CLASICO INTEGRAL CON GULAS,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
170130,MAXI POLLO Y QUESO MANCHEGO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
170132,MAXI MIXTO CREMOSO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
170133,LM BRIOCH 2UN JAMON SERRANO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
170136,LM BLOOMER JAMON COCIDO GRAN RESERVA,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
170141,LM VIENESA POLLO CHEDDAR,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
170142,LM VIENESA TORTILLA DE PATATA,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
170143,LM VIENESA ATUN HUEVO Y LECHUGA,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
170144,LM VIENESA JAMON COCIDO Y QUESO,False,SANDWICH LM,PRODUCTO FRESCO,SANDWICH,
170210,"AGUA BENASSAL PET 0,5L",False,AGUAS DE BENASSAL SA,BEBIDA FRIA,AGUA,
170211,"AGUA BENASSAL 1,5L PET",False,AGUAS DE BENASSAL SA,BEBIDA FRIA,"AGUA 1,5L",
170409,MRCORN BBQ EL ORIGINAL,False,GREFUSA,SNACK,FRUTO SECO,
170410,PALETINAS MADERA 105mm ENVUELTAS 100U,False,QUALERY,BEBIDA CALIENTE,PALETINAS,
170411,PALETINAS MADERA 90MM,False,"BARA EZQUERRA, S.A.",BEBIDA CALIENTE,PALETINAS,
170413,GUBLINS BBQ H 55G 90U,False,GREFUSA,SNACK,PATATAS,
170414,"VASO PAPEL 6OZ ""ENJOY GRIS""",False,"BARA EZQUERRA, S.A.",BEBIDA CALIENTE,VASOS,
170415,"VASOS COMPOSTABLE 6oz ""0%PT World""",False,QUALERY,BEBIDA CALIENTE,VASOS,
170416,VASOS 8 OZ BOCA 80MM,False,"BARA EZQUERRA, S.A.",BEBIDA CALIENTE,VASOS,
170417,SNATTS PAN PIPAS 40G 45U VENDING NTR,False,GREFUSA,SNACK,HORNEADOS,
170839,BATIDO C/PROTEINA VAINILLA 250ML,False,DANONE,BEBIDA FRIA,BEBIDA LÁCTEA,
170840,YOPRO UHT CHOCOLATE 250ML,False,DANONE,BEBIDA FRIA,BEBIDA LÁCTEA,
170905,SNACK COCKTAIL FRUTOS SECOS CRUDOS 1K,False,"FRIT RAVICH, S. L.",SNACK,FRUTO SECO,
171263,HAMBURGUESA TERNERA C/S.CAMPESTRE SA B1,False,COCINA CENTRAL SAN FERNANDO,PRODUCTO FRESCO,PLATOS 5 GAMA,
171350,"BOTELLA 0,300 no ret.   VICHY CATALAN",False,"PREMIUM MIX GROUP,  S.L.",BEBIDA FRIA,AGUA,
171431,KAIKU CAFFE LATTE MACHIATO PET 200 ML,False,"KAIKU KM0, S.L.",BEBIDA FRIA,BEBIDA LÁCTEA,
172922,ZUMO NARANJA-UVA BRICK 20CL 10x3x200,False,JUVER,BEBIDA FRIA,ZUMO,
173111,"PREPARADO LACTEO BASIC SIN AZUCAR (0,500GR)",False,LAQTIA S.L.,BEBIDA CALIENTE,LECHE,
173113,CAFE SOLUBLE AGLOMERADO DESCAFEINADO,False,QUALERY,BEBIDA CALIENTE,CAFÉ SOLUBLE,Café normal
173114,CAFE SOLUBLE LIOFILIZADO DESCAFEINADO 500G,False,QUALERY,BEBIDA CALIENTE,CAFÉ SOLUBLE,
173115,CAPPUCCINO VAINILLA,False,LAQTIA S.L.,BEBIDA CALIENTE,SOLUBLE,
173116,CAPUCCINO IRLANDES,False,LAQTIA S.L.,BEBIDA CALIENTE,SOLUBLE,
173157,UPGRADE NEUTRAL LCARNITINA,False,AGUA MINERAL SAN BENEDETTO SAU,BEBIDA FRIA,LATAS,
174748,"EDULCORANTE SOBRE 0,8G",False,EXCELENT MARKET - PLATAFORMA SECO MAD,BEBIDA CALIENTE,AZUCAR,
174882,PAN BOCADILLO EMBOLSADO,False,MONDAT BAKER S.L,PRODUCTO FRESCO,BOCADILLO,
174975,TAPAS PLASTICO 6 OZ,False,QUALERY,BEBIDA CALIENTE,VASOS,
175022,NESPRESSO NOCCIOLA CAPSULA,False,NESPRESSO,BEBIDA CALIENTE,CAPSULA,
175024,NESPRESSO CAFE COLOMBIA CAPSULA,False,NESPRESSO,BEBIDA CALIENTE,CAPSULA,
175401,GELATINA MACEDONIA 100G,False,"KAIKU KM0, S.L.",PRODUCTO FRESCO,YOGURT,
175519,CAFE INTENSO CAPSULA,False,ILLY,BEBIDA CALIENTE,CAPSULA,
175713,DORITOS CHILLI 40G,False,PEPSICO,SNACK,PATATAS,
175714,LAY'S CAMPESINAS 36G,False,PEPSICO,SNACK,PATATAS,
175715,NATWINS GRANOLA CHOCOLATE NEGRO,False,GIROFRIBRA,SNACK SALUDABLE,GALLETA,
175716,NATWINS GRANOLA COOKIE AVELLANAS,False,GIROFRIBRA,SNACK SALUDABLE,GALLETA,
175717,NATWINS FRESA YOGUR Y CHOCOLATE,False,GIROFRIBRA,SNACK SALUDABLE,GALLETA,
175718,"NATWINS ALMENDRAS, CHOCOLATE Y YOGUR",False,GIROFRIBRA,SNACK SALUDABLE,GALLETA,
175892,GEL ENERGETICO ISOTONICO COLA 68G,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,BEBIDA ENERGETICA,
175894,GEL ENERGETICO ISOTONICO LIMA 68G,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,BEBIDA ENERGETICA,
175896,BARRITA PROT VEGANA CACAO 226ERS 40G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175898,GALLETA C/PROT AMERICAN COOKIES 45G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175900,BARRITA PROT COOKIES CREAM BAREBELLS 55G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175902,BAR PROT CH. BLANCO CACAHU BAREBELLS 55G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175903,BARRITA WHITE CHOCOLATE  BAREBELLS 55G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175904,BARRITA  SOFT CARAMEL CHOCO  BAREBELLS 55G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175905,BARRITA PROT COCO CHOCO BAREBELLS 55G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175906,BARRITA SALTED PEANUT CARAMEL BAREBELLS 55G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175907,BAR PROT COOKIES CARAMELO BAREBELLS 55G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175908,BARRITA ENERGET CHOCOLATE FLAPJACK 60G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175909,BARRITA F.SECOS ALMENDRA ANACARD ECO 40G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175910,KOMBUCHA GINGER LEMON LATA 25CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,LATAS,
175911,KOMBUCHA ORIGINAL LATA 25CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,LATAS,
175912,KOMBUCHA FRUTA PASION ZERO PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,LATAS SIN AZUCAR,
175913,KOMBUCHA ORIGINAL ZERO PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET SIN AZUCAR,
175914,KOMBUCHA GINGER LEMON ZERO PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET SIN AZUCAR,
175915,KOMBUCHA LIMONADA PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175916,KOMBUCHA MELOCOTON PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175917,KOMBUCHA FRAMBUESA PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175918,GALLETA C/PROT BLACK COOKIES 70G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175919,GALLETA C/PROT KING COOKIES 70G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175920,KOMBUCHA GRANADA PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175921,KOMBUCHA PIÑA MELOCOTON PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175922,KOMBUCHA FRUTA DE LA PASION PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175923,KOMBUCHA ORIGINAL PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175924,KOMBUCHA JENGIBRE LIMON PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175925,KOMBUCHA COCO PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175926,KOMBUCHA MANZANA CANELA PET 40CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175927,VIWA  TE NEGRO MELOCOTON ZERO PET 60CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET SIN AZUCAR,
175928,VIWA VITALITY PET 60CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175929,VIWA MAGNEMAX PET 60CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175930,VIWA IMMUNITY ZERO PET 60CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET SIN AZUCAR,
175931,VITAMIN WELL BOOST PET 50CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175932,VITAMIN WELL REFRESH PET 50CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175933,VITAMIN WELL AWAKE PET 50CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PET,
175934,NOCCO BCAA LIMON LATA 33CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,LATAS,
175935,NOCCO BCAA NARANJA LATA 33CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,LATAS,
175936,NOCCO BCAA MANGO LATA 33CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,LATAS,
175937,NOCCO BCASS MIAMI LATA 33CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,LATAS,
175938,NOCCO BCAA MANZANA S/CAFEINA LATA 33CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,LATAS,
175939,NOCCO BCAA CARIBE LATA 33CL,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,LATAS,
175940,BATIDO CAFE C/LECHE OPTI PRO 330ML,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,BEBIDA LÁCTEA,
175941,BATIDO C/PROT VAINILLA OPTI PRO 330ML,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,BEBIDA LÁCTEA,
175942,BATIDO C/PROT CHOCOLATE OPTI PRO 330ML,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,BEBIDA LÁCTEA,
175943,BATIDO C/PROT VAINILLA MAXSHAKE 330ML,False,MAXI NUTRITION IBERIA,BEBIDA FRIA,BEBIDA LÁCTEA,
175944,BATIDO C/PROT FRESA MAXSHAKE 330ML,False,MAXI NUTRITION IBERIA,BEBIDA FRIA,BEBIDA LÁCTEA,
175945,BATIDO C/PROT CHOCOLATE MAXSHAKE 330ML,False,MAXI NUTRITION IBERIA,BEBIDA FRIA,BEBIDA LÁCTEA,
175946,BATIDO C/PROT VAINILLA BAREBELLS 330ML,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,BEBIDA LÁCTEA,
175947,BATIDO C/PROT FRESA BAREBELLS 330ML,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,BEBIDA LÁCTEA,
175950,BARRITA RAM CACAO ECO 40G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175951,BARRITA PROT CARAMELO SALADO C.GUTSY 50G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175952,BARRITA PROT CARAMELO CHOCO C.GUTSY 50G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175953,BATIDO C/PROT CHOCOLATE BAREBELLS.60,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,BEBIDA LÁCTEA,
175954,BARRITA PROT CACAHUETE CHOCO C.GUTSY 50G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175955,BARRITA ENERGET. CHOCOLATE RACE DAY 40G,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,BEBIDA ENERGETICA,
175956,BARRITA PROT CACAHUETE CHOCO 226ERS 50G,False,NUTRIGER SOLUTIONS SL,SNACK,CHOCOLATINAS,
175957,BARRITA PROT CHOCOLATE NEGRO 226ERS 50G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175958,BARRITA F.SECOS ZANAHORIA NUECES ECO 40G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175959,BARRITA PROT VEGANA CARAMELO C.CORE 45G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175960,BARRITA F.SECOS CACAO CACAHUETES ECO 40G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175961,BARRITA F.SECOS MANZANA ECO 40G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175962,BARRITA PROT VEGAN FUDGE CREAMY CORE 45G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175964,BARRITA PROT COOKIE CREAMY CORE 45G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175965,BARRITA PROT CACAHUETE CARAME C.CORE 45G,False,MAXI NUTRITION IBERIA,SNACK,PRODUCTO GYM,
175966,BARRITA PROT WHITE CHOCO COCO CREAMY CORE 45G,False,MAXI NUTRITION IBERIA,SNACK,PRODUCTO GYM,
175967,BARRITA PROT AVELLANA CREAMY CORE 45G,False,MAXI NUTRITION IBERIA,SNACK,PRODUCTO GYM,
175968,BARRITA PROT CACAHUETE CHOCO NUT 46G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175969,BARRITA PROT CACAHUETE SAL NUT 46G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175970,MOOSILK CHOCOLATE FLAVOUR,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175971,MOOSILK YOGURT FLAVOUR,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175972,MOOSILK GALLETA MARIA WAFER 35G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175973,TUENERGIA CAPUCCINO FLAPJACK 60G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
175975,PELOTAS PADEL HEAD PRO 24UN CAJA,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PRODUCTO GYM,
175976,PELOTAS PADEL HEAD PRO S. 24UN CAJA,False,NUTRIGER SOLUTIONS SL,BEBIDA FRIA,PRODUCTO GYM,
176108,VASO PAPEL 7OZ VENDING 20x50:1000 UND,False,"TECNOPACKING, S.L.",BEBIDA CALIENTE,VASOS,
176251,KAIKU PROTEIN BEBIBLE CHOCOLATE - AVELLANA,False,"KAIKU KM0, S.L.",BEBIDA FRIA,BEBIDA LÁCTEA,
176252,KAIKU PROTEIN BEBIBLE FRESA - VAINILLA 330,False,"KAIKU KM0, S.L.",BEBIDA FRIA,BEBIDA LÁCTEA,
176701,CAPPUCCINO COOKIES,False,LAQTIA S.L.,BEBIDA CALIENTE,SOLUBLE,
176702,EASY MILK,False,LAQTIA S.L.,BEBIDA CALIENTE,LECHE,
176897,BOMBOM CAJA ROJA 43G,False,NESTLE,SNACK,CHOCOLATINA,
176971,AZUCAR BLANCO STD SOBRE 5G,False,"BARA EZQUERRA, S.A.",BEBIDA CALIENTE,AZUCAR,
176973,VASOS COMPOSTABLES 6OZ BARA EZQUERRA,False,"BARA EZQUERRA, S.A.",BEBIDA CALIENTE,VASOS,
177083,GALLETA DIGESTIVE QUINOA Y CHOCO 27G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,GALLETA,
177084,TORTITA ARROZ CHOCO NEGRO ARANDANOS 105G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177085,TORT. ARROZ CHOCO NEGRO T.SARRACENO 112G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177086,TORTITA ESPELTA CHOCO NEGRO BIO 102G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177087,TORTITAS PROTEINA 3*3,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177088,TOSTADA LIGERA QUINOA CHOCO NEGRO 57G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177089,TORTITAS MINI PROTEIN CON CEBOLLA  50G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177092,GALLETA JUNGLA CACAO S/GLUTEN 100G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177101,TORTITA T.SARRACENO CHOCO NEGRO 112G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177110,TORTITAS MINI PROTEIN AL CURRY 50G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177111,TORTITAS MINI PROTEIN AL ROMERO 50G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177112,TORTITA MAIZ CHOCO NEGRO 100G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177113,TORTITA ARROZ CHOCO NEGRO 99G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177114,TOSTADA LIGERA ARROZ CHOCO C/LECHE 102G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,TORTITAS,
177115,GALLETA JUNGLA S/GLUTEN 100G,False,"CASA SANTIVERI, S.L.",SNACK SALUDABLE,GALLETA,
177911,MINI TWINS CREMA,False,GULLON,SNACK,GALLETA,
177912,MINI TWINS CHOCOLATE,False,GULLON,SNACK,GALLETA,
177915,MINI DIGESTIVE CHOCO LECHE,False,GULLON,SNACK,GALLETA,
177955,FUZE TEA LIMON LATA 33,False,COCA COLA,BEBIDA FRIA,LATAS,
177957,FUZE LIM SIN AZUCAR LATA33,False,COCA COLA,BEBIDA FRIA,LATAS SIN AZUCAR,
177959,FUZE TEA LIM PET50,False,COCA COLA,BEBIDA FRIA,PET,
178642,MALTESERS 37G,False,MARS,SNACK,CHOCOLATINA,
178870,SNACK PAN CON SEMILLAS MINI CRACKERS 75G,False,GULLON,SNACK,HORNEADOS,
179132,ATUN ACEITE LATA,False,"FRINSA DEL NOROESTE, S.A",SNACK SALUDABLE,5 GAMA,
179476,CAFÉ TORELLI ALLEGRIA,False,TORELLI BY MARCO COSTA,BEBIDA CALIENTE,CAFÉ,
180788,CAFE LIOF NATURAL 250G,False,LAQTIA S.L.,BEBIDA CALIENTE,CAFÉ,
180930,CAPUCCINO CONGUITO,False,LAQTIA S.L.,BEBIDA CALIENTE,SOLUBLE,
180931,LAQTIA LECHE AVENA,False,LAQTIA S.L.,BEBIDA CALIENTE,LECHE,
181014,BARRITA PROT BROWNIE 40G,False,MAXI NUTRITION IBERIA,SNACK,PRODUCTO GYM,
181015,BARRITA PROT SPREAD AVELLANA 39G,False,MAXI NUTRITION IBERIA,SNACK,PRODUCTO GYM,
181016,BATIDO PROT PLATANO MAXSHAKE 330ML,False,MAXI NUTRITION IBERIA,BEBIDA FRIA,BEBIDA LÁCTEA,
181017,MAXFIVE BCAA MANGO MARACUYA 33CL,False,MAXI NUTRITION IBERIA,BEBIDA FRIA,PRODUCTO GYM,
181018,MAXFIVE BCAA TE MELOCOTON LATA 33CL,False,MAXI NUTRITION IBERIA,BEBIDA FRIA,PRODUCTO GYM,
181390,TU ENERGIA AVENA YOGUR FLAPJACK 60G,False,NUTRIGER SOLUTIONS SL,SNACK,BARRITA,
181391,BARRITA PROT CACAHUETE CARAMELO 50G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
181392,BARRITA ENERGET PROBIOTICO F.SECOS 40G,False,NUTRIGER SOLUTIONS SL,SNACK,PRODUCTO GYM,
